duration,price,date,origination,destination,depart,arrive,mode
5h 14m,$305.00,10-31-2019,Philadelphia,Boston,1:32 PM,6:46 PM,train
5h 7m,$305.00,10-31-2019,Philadelphia,Boston,1:32 PM,6:39 PM,train
5h 11m,$305.00,10-31-2019,Philadelphia,Boston,2:32 PM,7:43 PM,train
5h 14m,$305.00,10-31-2019,Philadelphia,Boston,3:33 PM,8:47 PM,train
7h 5m,$33.00,10-27-2019,Boston,Philadelphia,10:15 AM,5:20 PM,bus
7h 0m,$39.99,10-27-2019,Boston,Philadelphia,11:45 PM,6:45 AM,bus
6h 45m,$29.00,10-27-2019,Boston,Philadelphia,10:15 AM,5:00 PM,bus
6h 0m,$33.00,10-27-2019,Boston,Philadelphia,11:30 AM,5:30 PM,bus
7h 22m,$95.00,10-27-2019,Boston,Philadelphia,9:30 PM,4:52 AM,train
6h 35m,$33.00,10-27-2019,Boston,Philadelphia,2:15 PM,8:50 PM,bus
7h 15m,$31.00,10-27-2019,Boston,Philadelphia,7:00 PM,2:15 AM,bus
7h 16m,$95.00,10-27-2019,Boston,Philadelphia,9:36 PM,4:52 AM,train
6h 1m,$138.00,10-27-2019,Boston,Philadelphia,6:30 AM,12:31 PM,train
5h 19m,$208.00,10-27-2019,Boston,Philadelphia,4:50 PM,10:09 PM,train
6h 12m,$138.00,10-27-2019,Boston,Philadelphia,8:35 AM,2:47 PM,train
6h 3m,$138.00,10-27-2019,Boston,Philadelphia,5:30 PM,11:33 PM,train
5h 56m,$138.00,10-27-2019,Boston,Philadelphia,6:35 AM,12:31 PM,train
5h 12m,$208.00,10-27-2019,Boston,Philadelphia,4:00 PM,9:12 PM,train
6h 8m,$138.00,10-27-2019,Boston,Philadelphia,5:25 PM,11:33 PM,train
6h 11m,$138.00,10-27-2019,Boston,Philadelphia,6:25 PM,12:36 AM,train
6h 31m,$138.00,10-27-2019,Boston,Philadelphia,3:05 PM,9:36 PM,train
5h 13m,$208.00,10-27-2019,Boston,Philadelphia,4:56 PM,10:09 PM,train
6h 6m,$138.00,10-27-2019,Boston,Philadelphia,6:30 PM,12:36 AM,train
6h 21m,$173.00,10-27-2019,Boston,Philadelphia,1:10 PM,7:31 PM,train
6h 7m,$173.00,10-27-2019,Boston,Philadelphia,8:40 AM,2:47 PM,train
5h 16m,$208.00,10-27-2019,Boston,Philadelphia,11:55 AM,5:11 PM,train
6h 24m,$173.00,10-27-2019,Boston,Philadelphia,12:10 PM,6:34 PM,train
6h 4m,$208.00,10-27-2019,Boston,Philadelphia,9:30 AM,3:34 PM,train
6h 25m,$173.00,10-27-2019,Boston,Philadelphia,3:11 PM,9:36 PM,train
5h 7m,$208.00,10-27-2019,Boston,Philadelphia,4:05 PM,9:12 PM,train
5h 59m,$208.00,10-27-2019,Boston,Philadelphia,9:35 AM,3:34 PM,train
6h 16m,$208.00,10-27-2019,Boston,Philadelphia,1:15 PM,7:31 PM,train
6h 18m,$208.00,10-27-2019,Boston,Philadelphia,12:16 PM,6:34 PM,train
5h 12m,$208.00,10-27-2019,Boston,Philadelphia,3:00 PM,8:12 PM,train
5h 11m,$208.00,10-27-2019,Boston,Philadelphia,12:00 PM,5:11 PM,train
5h 6m,$208.00,10-27-2019,Boston,Philadelphia,3:06 PM,8:12 PM,train
